TimeStamps,Tweets,Replies,reTweets,Likes
2022-04-21T13:00:08.000Z,We’re excited to announce Tissot as the title sponsor for the 2022 Grand Prix of Portugal. The event will take place at the stunning Autodromo Internacional do Algarve from April 22 to -24 and will be officially named the Grande Prémio Tissot de Portugal https://fcld.ly/43q9hw0,1,5,97
2022-04-20T13:00:08.000Z,"Now available in the 36 mm diameter version, the new Seastar Collection is an invitation to be in harmony with space, with time and with yourself. For every wrist, every time, everywhere. 
https://fcld.ly/tissotseastar  
#TissotSeastar #TimeToSea",1,5,31
2022-04-16T13:00:05.000Z,"Discover the new #TissotSeastar Collection, a portal to adventure, travel and the thrills of a life well-lived. 
https://fcld.ly/tissotseastar #TimeToSea",,5,17
2021-09-28T07:00:04.000Z,"Blaize the trail of coolness like Korean actor ‘Sunghoon’ by wearing the new Tissot PRX Powermatic 80. Get yours now! https://fcld.ly/5dfbn94 

Cooperation with 
@arenakorea
 

#TissotPRX #blastfromthe70s #sunghoon #ARENAKOREA #티쏘 #티쏘PRX #티쏘성훈",1,12,34
2021-09-24T14:33:37.000Z,Arthur Chen's interpretention of the 70's vibe. #TissotPRX #AWatchToMove #ArthurChen,5,12,82
2021-09-18T07:00:13.000Z,"It only takes seconds to create the perfect modern-retro look. With the Tissot PRX Powermatic 80, step out of the office already dressed to impress. https://tissotwatches.com/en-en/tissot-prx.html… #TissotPRX #awatchtomove #BlastFromThe70s",6,12,73
2021-09-16T07:00:09.000Z,"Take on the integrated stainless steel sports watch trend with the new Tissot PRX Powermatic 80 and curate the perfect, sophisticated, timeless retro look. Now available in physical and online stores. https://tissotwatches.com/en-en/tissot-prx.html… #TissotPRX #BlastFromThe70s",6,12,42
2021-09-15T07:00:48.000Z,"It's no secret: whether in the 70s or nowadays, leaving a lasting impression requires accuracy and attention to detail, making the ritual of preparation as cool as the destination. Enjoy the just-launched campaign for the new Tissot PRX Automatic. #TissotPRX #AWatchToMove",1,12,34
2021-09-10T13:22:36.000Z,"Tissot, Official Timekeeper of the 
@MotoGP
, has proudly been named title partner for the Aragon Grand Prix happening this weekend! You will find the essence of MotoGP™ in each dedicated ltd edition. Available now. https://tissotwatches.com/en-en/collection/all-our-watches/t-sport.html?filter_subfamily=TISSOT+T-RACE+MOTOGP…",2,12,58
2021-07-07T07:38:15.000Z,"Today is L'Etape Reine of the #TDF2021. Hard work, limitless determination and, above all, self belief are essential for success on this double ascent of 1910m Mont Ventoux. Tissot wishes all cyclists strength and courage on this Stage 11! #ThisIsYourTime",,4,27
2021-07-06T07:51:49.000Z,"Primož Roglič shows us today that doing what is right is more important than winning or losing. What makes a real champion is not the number of victories but the hours, weeks, months and years of hard work and dedication. Continue to believe in yourself, Primož, Tissot does!",1,4,39
2021-07-03T07:00:15.000Z,"21 days, 3,383 km, 22 teams competing… it’s the world’s toughest cycle race. As the Tour de France Official Timekeeper, Tissot knows a thing or two about excellence, endurance and accuracy. Check out this year’s Special Edition Tour de France watch.  https://fcld.ly/rn264hd",1,4,69
2021-06-30T07:00:11.000Z,"Fast. Faster. Fastest. It’s ITT time today. Every second counts, but in an individual time trial even a millisecond can be decisive. CHANGÉ - LAVAL: 27 kilometres full speed ahead! #TDF2021 #OfficialTimekeeper",,4,29
2021-06-25T07:00:15.000Z,"Tomorrow is The Day! It is Tour The France time for Tissot Ambassador Primoz Roglic. The T-Touch Connect Solar will accompany him on his journey, starting with a perfect wake-up call. #ThisIsYourTime 
@rogla",1,4,31
2021-06-24T14:47:26.000Z,"“It's not just about surpassing others, it's about finding your own strengths and believing in them in order to perform. It is about believing in you”. Wise words from world cycling number one and Tissot Ambassador Primož Roglič. How will those words inspire you today? 
@rogla",1,4,34
